Bib,Name,Country,Gender,Division,Division Rank,Overall Time,Overall Rank,Swim Time,Swim Rank,Bike Time,Bike Rank,Run Time,Run Rank,Finish Status
18,Hyo Min Kim,Korea,Male,M35-39,35,12:41:08,202,1:17:32,85,6:18:50,271,4:55:29,267,Finisher
474,미선 김,Korea,Female,F45-49,8,12:41:50,203,1:36:52,380,6:25:03,303,4:25:28,146,Finisher
436,영석 김,Korea,Male,M45-49,36,12:43:06,204,1:26:09,194,6:05:17,210,4:46:42,232,Finisher
605,Byoung Hoi Kim,Korea,Male,M55-59,16,12:43:18,205,1:42:20,443,5:58:54,177,4:49:33,241,Finisher
194,Yunsung Ha,Korea,Male,M35-39,36,12:43:32,206,1:18:58,98,6:26:01,309,4:34:08,169,Finisher
76,Shogo Nishio,Japan,Male,M18-24,4,12:44:11,207,1:24:59,178,6:19:22,273,4:38:58,194,Finisher
457,Jongmin Han,Korea,Male,M45-49,37,12:44:12,208,1:17:17,81,6:03:00,196,5:01:28,293,Finisher
51,Jinho Ryu,Korea,Male,M40-44,41,12:44:24,209,1:20:22,118,6:12:57,241,4:57:56,279,Finisher
372,Go Sung Won,Korea,Male,M45-49,38,12:44:56,210,1:19:32,110,6:36:16,346,4:35:48,177,Finisher
137,Geumbae Kim,Korea,Male,M30-34,13,12:46:02,211,1:16:24,63,5:51:58,151,5:22:59,359,Finisher
78,Jihun Sim,Korea,Male,M18-24,5,12:46:02,212,1:05:27,12,6:04:40,206,5:20:10,350,Finisher
216,Nikita Mezentsev,Unknown,Male,M35-39,37,12:46:11,213,1:36:52,381,6:17:03,264,4:39:31,197,Finisher
488,Hanho Choi,Korea,Male,M50-54,27,12:46:41,214,1:20:38,121,5:58:51,176,5:11:13,322,Finisher
470,Hyunha Seok,Korea,Female,F45-49,9,12:48:39,215,1:27:49,225,6:19:10,272,4:45:45,228,Finisher
338,명진 백,Korea,Male,M40-44,42,12:49:04,216,1:19:03,99,6:17:40,267,4:51:54,249,Finisher
696,외용 김,Korea,Male,M60-64,9,12:49:06,217,1:39:03,415,6:06:01,216,4:44:26,222,Finisher
375,Sung Bae Hong,Korea,Male,M45-49,39,12:49:18,218,1:25:35,188,6:20:22,281,4:38:05,188,Finisher
591,Tanaka Futoshi,Japan,Male,M55-59,17,12:49:28,219,1:41:30,436,6:03:17,197,4:48:09,234,Finisher
